client,number_of_executed_transactions,total_transaction_execution_time,transaction_throughput,average_transaction_latency,95th_percentile_transaction_latency,99th_percentile_transaction_latency
5.txt,5253,155.01,33.89,29.5,74.14,264.23
8.txt,6605,428.73,15.41,64.9,186.28,290.72
1.txt,25238,432.51,58.35,17.13,53.65,257.78
4.txt,13083,438.39,29.84,33.5,77.64,254.81
0.txt,8132,445.17,18.27,54.74,132.32,361.22
9.txt,10862,610.47,17.79,56.2,136.66,381.22
14.txt,7085,1022.72,6.93,144.34,345.26,490.49
12.txt,8762,1261.6,6.95,143.97,348.23,521.24
7.txt,11069,1554.62,7.12,140.32,329.48,462.71
15.txt,11643,1582.26,7.36,135.89,320.39,459.89
3.txt,10224,1647.78,6.2,161.16,362.93,510.02
18.txt,11034,1697.65,6.5,153.85,345.26,472.0
19.txt,33804,1717.97,19.68,50.78,241.52,372.85
13.txt,14307,1769.79,8.08,123.69,325.99,470.49
6.txt,13121,1828.57,7.18,139.35,326.32,473.38
11.txt,46437,1959.43,23.7,42.19,212.49,385.44
2.txt,16038,1988.12,8.07,123.96,319.16,482.15
10.txt,42208,1991.28,21.2,47.17,233.01,400.02
17.txt,67372,2217.04,30.39,32.9,172.43,370.82
16.txt,70682,2480.42,28.5,35.08,168.83,369.8
